"lat" "lng" "bearing" "speed" "user_id" "time" "wday" "got_wifi" "time_to_wifi"
"707" 40.3494 -74.653 355.21 1.8125 3 46657.2460000515 3 TRUE 180
"708" 40.3486 -74.6537 0.23 0.375 3 63145.4289999008 3 TRUE 180
"711" 40.3464 -74.658 5.77 0.1875 3 3688.77600002289 4 TRUE 0
"712" 40.3464 -74.6582 6.8 0.5625 3 13768.7309999466 4 TRUE 0
"719" 40.3463 -74.6581 64.58 0.8125 3 84506.9960000515 4 TRUE 540
"725" 40.3464 -74.6581 3.53 1.5 3 9986.87700009346 5 TRUE 60
"726" 40.3463 -74.6583 305.95 1.6875 3 11133.3650000095 5 TRUE 0
"727" 40.3462 -74.6582 1.63 1.5 3 13407.1740000248 5 TRUE 0
"729" 40.3464 -74.6581 1 2.25 3 16707.1719999313 5 TRUE 0
"731" 40.3464 -74.6582 359.53 0.5 3 19113.1909999847 5 TRUE 0
"736" 40.3464 -74.6581 12.35 0.75 3 27268.8029999733 5 TRUE 0
"752" 40.3502 -74.6524 359.54 0.625 3 55526.7699999809 3 TRUE 60
"753" 40.3485 -74.6605 358.08 0.6875 3 57211.8199999332 3 TRUE 0
"757" 40.348 -74.66 0.8 0.6875 3 62666.5969998837 3 TRUE 60
"761" 40.3498 -74.6529 5.57 1 3 71011.2049999237 3 TRUE 0
"764" 40.3462 -74.6581 263.19 1.25 3 698.207000017166 4 TRUE 0
"766" 40.3464 -74.6583 22.31 1.75 3 5968.81900000572 4 TRUE 0
"768" 40.3464 -74.6583 218.24 2.0625 3 9451.61199998856 4 TRUE 0
"769" 40.3463 -74.6581 0 0.4375 3 10948.7119998932 4 TRUE 0
"785" 40.3496 -74.6531 357.05 1.4375 3 57573.9879999161 4 TRUE 0
"787" 40.3501 -74.6528 358.16 1.125 3 62428.9370000362 4 TRUE 0
"790" 40.3464 -74.6581 6.31 0.875 3 2787.15799999237 5 TRUE 0
"793" 40.3464 -74.6581 0 0.125 3 8487.69099998474 5 TRUE 0
"796" 40.3463 -74.6582 0 0.5 3 18027.0799999237 5 TRUE 0
"797" 40.3464 -74.6583 6.64 1.0625 3 27688.7060000896 5 TRUE 0
"802" 40.3487 -74.6528 0 0.125 3 40885.8310000896 5 TRUE 0
"803" 40.3488 -74.6528 0 0.25 3 41185.8880000114 5 TRUE 0
"804" 40.3488 -74.6527 0 0 3 41724.0969998837 5 TRUE 0
"805" 40.346 -74.6604 0 0 2 76395.8139998913 3 TRUE 60
"806" 40.345 -74.6579 0 0 2 30105.3229999542 4 TRUE 240
"808" 40.3476 -74.6543 114 0.43785 2 61111.4119999409 4 TRUE 0
"812" 40.3493 -74.6543 357.26 1.125 3 41385.8489999771 3 TRUE 60
"814" 40.35 -74.6519 2.58 0.5625 3 52184.7230000496 3 TRUE 0
"815" 40.3501 -74.6521 358.71 0.4375 3 52490.7999999523 3 TRUE 0
"818" 40.3462 -74.6537 0 0.4375 3 74688.2730000019 3 TRUE 240
"819" 40.344 -74.6579 32 0.5004 6 75201.9079999924 5 TRUE 180
"820" 40.344 -74.6575 41 1.18845 6 75294.1619999409 5 TRUE 90
"821" 40.3449 -74.6552 57 1.31355 6 75520.7520000935 5 TRUE 45
"822" 40.345 -74.6544 187 1.1259 6 75787.5230000019 5 TRUE 30
"823" 40.3439 -74.657 279 1.43865 6 76041.9019999504 5 TRUE 90
"824" 40.3428 -74.6606 357 0.06255 6 76342.2269999981 5 TRUE 45
